Comment,Designator,Footprint,LCSC,Quantity
100nF,C45,C_0603_1608Metric,,1
Pyro8Pin,J10,TerminalBlock_TE_282834-8_1x08_P2.54mm_Horizontal,,1
86.6k,R42,R_0603_1608Metric,,1
10k,R39,R_0603_1608Metric,,1
10k,R38,R_0603_1608Metric,,1
SW_Push,SW2,SW_Push_SPST_NO_Alps_SKRK,,1
C13740,Y1,OSC-SMD_4P-L3.2-W2.5-BL,,1
2.2uF,C23,C_0603_1608Metric,,1
2.2uF,C22,C_0603_1608Metric,,1
1k,R47,R_0603_1608Metric,,1
Motor_Servo,M7,PinSocket_1x03_P2.54mm_Vertical,,1
47,R45,R_0603_1608Metric,,1
30.1k,R53,R_0603_1608Metric,,1
100nF,C18,C_0603_1608Metric,,1
10uF,C48,C_0603_1608Metric,,1
100nF,C32,C_0603_1608Metric,,1
100nF,C29,C_0603_1608Metric,,1
SPI9Pin,J8,TerminalBlock_TE_282834-9_1x09_P2.54mm_Horizontal,,1
100nF,C27,C_0603_1608Metric,,1
5.1k,R3,R_0603_1608Metric,,1
Motor_Servo,M2,PinSocket_1x03_P2.54mm_Vertical,,1
86.6k,R43,R_0603_1608Metric,,1
Motor_Servo,M4,PinSocket_1x03_P2.54mm_Vertical,,1
Motor_Servo,M5,PinSocket_1x03_P2.54mm_Vertical,,1
1k,R15,R_0603_1608Metric,,1
1k,R14,R_0603_1608Metric,,1
100nF,C36,C_0603_1608Metric,,1
20pF,C3,C_0603_1608Metric,,1
GPIO4Pin,J4,TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal,,1
LTST-C193KFKT,D5,D_0603_1608Metric,,1
470,R32,R_0603_1608Metric,,1
470,R49,R_0603_1608Metric,,1
Motor_Servo,M6,PinSocket_1x03_P2.54mm_Vertical,,1
Radio4Pin,J1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,,1
QWIIC I2C,J6,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,,1
Prog5Pin,J9,PinHeader_1x05_P1.27mm_Vertical,,1
C193TGKT,D10,D_0603_1608Metric,,1
86.6k,R24,R_0603_1608Metric,,1
470,R31,R_0603_1608Metric,,1
4.7uF,C31,C_0603_1608Metric,,1
300,R4,R_0603_1608Metric,,1
UCS3205,U12,VQFN19_3.0x3.0mm_2EP,,1
1k,R48,R_0603_1608Metric,,1
LTST-C193KFKT,D6,D_0603_1608Metric,,1
20pF,C5,C_0603_1608Metric,,1
STM32H753VITx,U3,LQFP-100_14x14mm_P0.5mm,,1
1k,R29,R_0603_1608Metric,,1
Motor_Servo,M3,PinSocket_1x03_P2.54mm_Vertical,,1
30.1k,R35,R_0603_1608Metric,,1
10uF,C41,C_0603_1608Metric,,1
1uF,C34,C_0603_1608Metric,,1
UCS3205,U11,VQFN19_3.0x3.0mm_2EP,,1
1k,R19,R_0603_1608Metric,,1
1k,R30,R_0603_1608Metric,,1
100nF,C21,C_0603_1608Metric,,1
100nF,C24,C_0603_1608Metric,,1
10uF,C40,C_0603_1608Metric,,1
47,R28,R_0603_1608Metric,,1
Motor_Servo,M1,PinSocket_1x03_P2.54mm_Vertical,,1
86.6k,R23,R_0603_1608Metric,,1
LTST-C193KFKT,D8,D_0603_1608Metric,,1
10uF,C49,C_0603_1608Metric,,1
30.1k,R34,R_0603_1608Metric,,1
UCS3205,U9,VQFN19_3.0x3.0mm_2EP,,1
100nF,C33,C_0603_1608Metric,,1
LTST-C193KFKT,D7,D_0603_1608Metric,,1
USB_C_Receptacle_USB2.0_14P,J2,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,,1
47,R27,R_0603_1608Metric,,1
47,R44,R_0603_1608Metric,,1
10k,R20,R_0603_1608Metric,,1
SW_SPDT,SW1,SW_SPDT_PCM12,,1
C193TBKT,D11,D_0603_1608Metric,,1
H3LIS331DLTR,U6,QFN300X300X100-16N,,1
4.7k,R12,R_0603_1608Metric,,1
100nF,C30,C_0603_1608Metric,,1
100nF,C37,C_0603_1608Metric,,1
100nF,C35,C_0603_1608Metric,,1
4.7k,R13,R_0603_1608Metric,,1
30.1k,R54,R_0603_1608Metric,,1
Motor_Servo,M8,PinSocket_1x03_P2.54mm_Vertical,,1
UCS3205,U10,VQFN19_3.0x3.0mm_2EP,,1
100nF,C26,C_0603_1608Metric,,1
GPS7Pin,J3,JST_SH_BM07B-SRSS-TB_1x07-1MP_P1.00mm_Vertical,,1
BMI088,U5,VQFN16_4.5x3.0mm,,1
470,R50,R_0603_1608Metric,,1
10uF,C25,C_0603_1608Metric,,1
1k,R16,R_0603_1608Metric,,1
5.1k,R5,R_0603_1608Metric,,1
BMP390L,U4,XDCR_BMP390L,,1
Power8Pin,J11,TerminalBlock_TE_282834-8_1x08_P2.54mm_Horizontal,,1
100nF,C20,C_0603_1608Metric,,1
MHT192WDT-C12,D2,D_0603_1608Metric,,1
C193KRKT,D9,D_0603_1608Metric,,1
10k,R21,R_0603_1608Metric,,1
10uF,C47,C_0603_1608Metric,,1
100nF,C28,C_0603_1608Metric,,1
100nF,C44,C_0603_1608Metric,,1
100nF,C4,C_0603_1608Metric,,1
300,R46,R_0603_1608Metric,,1
1k,R18,R_0603_1608Metric,,1
1M,R10,R_0603_1608Metric,,1
SS32 (MDD),D1,D_SMA,,1
SMAJ9.0CA,D4,D_SMA,,1
