Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_CUI_CPT-9019S-SMT,145.5,-66.5,0.0,bottom
C1,10uF,C_0603_1608Metric,160.135458,-93.355479,180.0,bottom
C10,22uF,C_0603_1608Metric,144.062,-102.5,0.0,bottom
C11,10uF,C_0603_1608Metric,144.062,-101.0,0.0,bottom
C12,10uF,C_0603_1608Metric,149.35,-94.45,90.0,bottom
C13,22uF,C_0603_1608Metric,147.586925,-91.275,270.0,bottom
C14,22uF,C_0603_1608Metric,149.257788,-91.283748,270.0,bottom
C15,2.2uF,C_0603_1608Metric,144.9,-105.175,90.0,bottom
C16,10nF,C_0603_1608Metric,146.43487,-110.240222,270.0,bottom
C17,47nF,C_0603_1608Metric,151.337,-110.25,270.0,bottom
C18,100nF,C_0603_1608Metric,149.575,-80.25,0.0,top
C19,100nF,C_0603_1608Metric,139.696581,-73.525,90.0,bottom
C2,47uF,C_0805_2012Metric,160.35636,-95.22087,180.0,bottom
C20,100nF,C_0603_1608Metric,152.75,-85.7625,180.0,top
C21,100nF,C_0603_1608Metric,155.25,-83.2625,90.0,top
C22,2.2uF,C_0603_1608Metric,152.76992,-79.652368,0.0,top
C23,2.2uF,C_0603_1608Metric,156.75,-64.525,-90.0,top
C24,100nF,C_0603_1608Metric,148.25,-87.25,0.0,top
C25,10uF,C_0603_1608Metric,148.25,-89.0,0.0,top
C26,100nF,C_0603_1608Metric,143.193346,-82.0,0.0,top
C27,100nF,C_0603_1608Metric,135.725,-83.75,180.0,top
C28,100nF,C_0603_1608Metric,139.75,-70.475,270.0,bottom
C29,100nF,C_0603_1608Metric,138.878275,-79.25,180.0,top
C3,20pF,C_0603_1608Metric,136.024884,-66.502317,180.0,top
C30,100nF,C_0603_1608Metric,137.362818,-64.160932,90.0,top
C31,4.7uF,C_0603_1608Metric,137.75,-61.0,90.0,top
C32,100nF,C_0603_1608Metric,155.03639,-78.075753,0.0,top
C33,100nF,C_0603_1608Metric,135.475,-75.6,180.0,top
C34,1uF,C_0603_1608Metric,134.55,-77.2,180.0,top
C35,100nF,C_0603_1608Metric,136.25,-74.0,180.0,top
C36,100nF,C_0603_1608Metric,139.5,-61.0,90.0,top
C37,100nF,C_0603_1608Metric,156.0,-62.0,0.0,top
C38,10uF,C_0603_1608Metric,131.75,-99.725,270.0,bottom
C39,10uF,C_0603_1608Metric,131.75,-106.0,90.0,bottom
C4,100nF,C_0603_1608Metric,154.660724,-93.328577,90.0,bottom
C40,10uF,C_0603_1608Metric,136.05,-98.724992,-90.0,top
C41,10uF,C_0603_1608Metric,136.3,-105.724992,-90.0,top
C42,100nF,C_0603_1608Metric,130.875505,-83.18367,180.0,bottom
C43,22uF,C_0603_1608Metric,160.501049,-112.471187,180.0,bottom
C44,100nF,C_0603_1608Metric,160.476049,-114.221187,180.0,bottom
C45,100nF,C_0603_1608Metric,157.54046,-55.839012,-90.0,top
C46,10uF,C_0603_1608Metric,131.75,-110.0,270.0,bottom
C47,10uF,C_0603_1608Metric,131.75,-116.0,90.0,bottom
C48,10uF,C_0603_1608Metric,136.0,-112.724992,-90.0,top
C49,10uF,C_0603_1608Metric,136.4,-119.9,-90.0,top
C5,20pF,C_0603_1608Metric,133.5,-70.05,-90.0,top
C6,100uF,C_1206_3216Metric,157.525,-108.76,180.0,bottom
C7,100uF,C_1206_3216Metric,157.525,-106.25,180.0,bottom
C8,22uF,C_0603_1608Metric,156.75,-110.75,180.0,bottom
C9,10uF,C_0603_1608Metric,156.725,-112.5,180.0,bottom
