Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","20pF","C_0603_1608Metric",136.024884,-66.502317,180.000000,top
"C5","20pF","C_0603_1608Metric",133.500000,-70.050000,-90.000000,top
"C18","100nF","C_0603_1608Metric",149.575000,-80.250000,0.000000,top
"C20","100nF","C_0603_1608Metric",152.750000,-85.762500,180.000000,top
"C21","100nF","C_0603_1608Metric",155.250000,-83.262500,90.000000,top
"C22","2.2uF","C_0603_1608Metric",152.769920,-79.652368,0.000000,top
"C23","2.2uF","C_0603_1608Metric",156.750000,-64.525000,-90.000000,top
"C24","100nF","C_0603_1608Metric",148.250000,-87.250000,0.000000,top
"C25","10uF","C_0603_1608Metric",148.250000,-89.000000,0.000000,top
"C26","100nF","C_0603_1608Metric",143.193346,-82.000000,0.000000,top
"C27","100nF","C_0603_1608Metric",135.725000,-83.750000,180.000000,top
"C29","100nF","C_0603_1608Metric",138.878275,-79.250000,180.000000,top
"C30","100nF","C_0603_1608Metric",137.362818,-64.160932,90.000000,top
"C31","4.7uF","C_0603_1608Metric",137.750000,-61.000000,90.000000,top
"C32","100nF","C_0603_1608Metric",155.036390,-78.075753,0.000000,top
"C33","100nF","C_0603_1608Metric",135.475000,-75.600000,180.000000,top
"C34","1uF","C_0603_1608Metric",134.550000,-77.200000,180.000000,top
"C35","100nF","C_0603_1608Metric",136.250000,-74.000000,180.000000,top
"C36","100nF","C_0603_1608Metric",139.500000,-61.000000,90.000000,top
"C37","100nF","C_0603_1608Metric",156.000000,-62.000000,0.000000,top
"C40","10uF","C_0603_1608Metric",136.050000,-98.724992,-90.000000,top
"C41","10uF","C_0603_1608Metric",136.300000,-105.724992,-90.000000,top
"C45","100nF","C_0603_1608Metric",157.540460,-55.839012,-90.000000,top
"C48","10uF","C_0603_1608Metric",136.000000,-112.724992,-90.000000,top
"C49","10uF","C_0603_1608Metric",136.400000,-119.900000,-90.000000,top
"D2","MHT192WDT-C12","D_0603_1608Metric",163.200000,-95.950000,90.000000,top
"D5","LTST-C193KFKT","D_0603_1608Metric",127.000000,-86.500000,0.000000,top
"D6","LTST-C193KFKT","D_0603_1608Metric",127.037500,-88.250000,0.000000,top
"D7","LTST-C193KFKT","D_0603_1608Metric",127.037500,-90.000000,0.000000,top
"D8","LTST-C193KFKT","D_0603_1608Metric",127.037500,-91.750000,0.000000,top
"D9","C193KRKT","D_0603_1608Metric",151.000000,-56.287500,-90.000000,top
"D10","C193TGKT","D_0603_1608Metric",152.750000,-56.287500,-90.000000,top
"D11","C193TBKT","D_0603_1608Metric",154.500000,-56.287500,-90.000000,top
"J1","Radio4Pin","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",135.800000,-51.700000,0.000000,top
"J2","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",165.625000,-85.500000,90.000000,top
"J3","GPS7Pin","JST_SH_BM07B-SRSS-TB_1x07-1MP_P1.00mm_Vertical",152.909968,-51.695433,0.000000,top
"J6","QWIIC I2C","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",143.600000,-51.700000,0.000000,top
"R3","5.1k","R_0603_1608Metric",158.200000,-81.550000,90.000000,top
"R4","300","R_0603_1608Metric",163.200000,-92.825000,-90.000000,top
"R5","5.1k","R_0603_1608Metric",159.750000,-81.575000,90.000000,top
"R12","4.7k","R_0603_1608Metric",145.750000,-59.325000,-90.000000,top
"R13","4.7k","R_0603_1608Metric",143.750000,-59.325000,-90.000000,top
"R14","1k","R_0603_1608Metric",152.750000,-81.250000,180.000000,top
"R15","1k","R_0603_1608Metric",143.175000,-80.250000,0.000000,top
"R16","1k","R_0603_1608Metric",146.325000,-80.250000,180.000000,top
"R19","1k","R_0603_1608Metric",143.191680,-83.750000,180.000000,top
"R20","10k","R_0603_1608Metric",136.075000,-95.600000,90.000000,top
"R21","10k","R_0603_1608Metric",136.075000,-102.625000,90.000000,top
"R23","86.6k","R_0603_1608Metric",134.325000,-95.600000,-90.000000,top
"R24","86.6k","R_0603_1608Metric",134.325000,-102.625000,-90.000000,top
"R27","47","R_0603_1608Metric",138.575000,-99.499992,0.000000,top
"R28","47","R_0603_1608Metric",138.650000,-106.500000,0.000000,top
"R29","1k","R_0603_1608Metric",143.325000,-95.099992,-90.000000,top
"R30","1k","R_0603_1608Metric",143.325000,-102.024992,-90.000000,top
"R31","470","R_0603_1608Metric",142.750000,-99.499992,180.000000,top
"R32","470","R_0603_1608Metric",141.825000,-106.524992,180.000000,top
"R34","30.1k","R_0603_1608Metric",134.300000,-98.700000,-90.000000,top
"R35","30.1k","R_0603_1608Metric",133.650000,-105.650000,-90.000000,top
"R38","10k","R_0603_1608Metric",136.000000,-109.650000,90.000000,top
"R39","10k","R_0603_1608Metric",136.000000,-116.650000,90.000000,top
"R42","86.6k","R_0603_1608Metric",134.250000,-109.650000,-90.000000,top
"R43","86.6k","R_0603_1608Metric",134.250000,-116.650000,-90.000000,top
"R44","47","R_0603_1608Metric",138.500000,-113.749992,0.000000,top
"R45","47","R_0603_1608Metric",138.681851,-120.626004,0.000000,top
"R47","1k","R_0603_1608Metric",143.250000,-109.174992,-90.000000,top
"R48","1k","R_0603_1608Metric",143.210812,-116.187264,-90.000000,top
"R49","470","R_0603_1608Metric",141.750000,-113.749992,180.000000,top
"R50","470","R_0603_1608Metric",141.774391,-120.629219,180.000000,top
"R53","30.1k","R_0603_1608Metric",134.250000,-112.724992,-90.000000,top
"R54","30.1k","R_0603_1608Metric",133.650000,-119.900000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",166.670000,-95.750000,90.000000,top
"SW2","SW_Push","SW_Push_SPST_NO_Alps_SKRK",127.288760,-82.372440,-90.000000,top
"U3","STM32H753VITx","LQFP-100_14x14mm_P0.5mm",147.000000,-70.000000,0.000000,top
"U4","BMP390L","XDCR_BMP390L",153.000000,-83.512500,-90.000000,top
"U5","BMI088","VQFN16_4.5x3.0mm",139.423659,-83.313322,0.000000,top
"U6","H3LIS331DLTR","QFN300X300X100-16N",147.500000,-84.000000,180.000000,top
"U9","UCS3205","VQFN19_3.0x3.0mm_2EP",139.875000,-96.049992,90.000000,top
"U10","UCS3205","VQFN19_3.0x3.0mm_2EP",139.875000,-103.074992,90.000000,top
"U11","UCS3205","VQFN19_3.0x3.0mm_2EP",139.800000,-110.249992,90.000000,top
"U12","UCS3205","VQFN19_3.0x3.0mm_2EP",139.809447,-117.211568,90.000000,top
"Y1","C13740","OSC-SMD_4P-L3.2-W2.5-BL",136.125000,-69.400000,90.000000,top
"C1","10uF","C_0603_1608Metric",160.135458,-93.355479,0.000000,bottom
"C2","47uF","C_0805_2012Metric",160.356360,-95.220870,0.000000,bottom
"C4","100nF","C_0603_1608Metric",154.660724,-93.328577,90.000000,bottom
"C6","100uF","C_1206_3216Metric",157.525000,-108.760000,0.000000,bottom
"C7","100uF","C_1206_3216Metric",157.525000,-106.250000,0.000000,bottom
